,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
57853,2014-04-18,house,Escobar,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,-34.439496999999996,-58.736079000000004,180000.0,USD,180000.0,160.0,,,http://www.properati.com.ar/exl6_venta_casa_escobar
57854,2014-04-18,house,Manuel Alberti,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Manuel Alberti|,-34.455906,-58.908329,280000.0,USD,280000.0,920.0,,,http://www.properati.com.ar/exl8_venta_casa_manuel-alberti
57855,2014-04-18,house,Villa Ballester,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,-34.54227,-58.542793999999994,85000.0,USD,85000.0,171.0,,,http://www.properati.com.ar/exl9_venta_casa_villa-ballester
57856,2014-04-18,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.629447,-58.371993999999994,98000.0,USD,98000.0,53.0,2.0,,http://www.properati.com.ar/exlb_venta_departamento_barracas
57857,2014-04-18,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.575604,-58.433431000000006,158000.0,USD,158000.0,65.0,4.0,,http://www.properati.com.ar/exld_venta_departamento_palermo
57858,2014-04-18,apartment,Saavedra,|Argentina|Capital Federal|Saavedra|,-34.554528999999995,-58.483189,95000.0,USD,95000.0,49.0,2.0,,http://www.properati.com.ar/exlg_venta_departamento_saavedra
57859,2014-04-18,apartment,Saavedra,|Argentina|Capital Federal|Saavedra|,-34.554528999999995,-58.483189,93000.0,USD,93000.0,46.0,1.0,,http://www.properati.com.ar/exlh_venta_departamento_saavedra
57860,2014-04-18,apartment,Nuñez,|Argentina|Capital Federal|Nuñez|,-34.548503000000004,-58.467293999999995,112101.0,USD,112101.0,53.0,2.0,,http://www.properati.com.ar/exli_venta_departamento_nunez
57861,2014-04-18,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.581835999999996,-58.451288,111711.0,USD,111711.0,65.0,2.0,,http://www.properati.com.ar/exlk_venta_departamento_colegiales
57862,2014-04-18,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.632843,-58.370324,129000.0,USD,129000.0,56.0,2.0,,http://www.properati.com.ar/exln_venta_departamento_barracas
